"avatar_c19a55 src","username_c19a55","botText__82f07","timestamp_c19a55","separator_c19a55","hiddenVisually_b18fe2","embedFieldValue__623de","embedFieldValue__623de 2","embedFieldValue__623de 3","embedFieldValue__623de 4","timestamp__75297","hiddenVisually_b18fe2 2","latin24CompactTimeStamp_c19a55","separator_c19a55 2"
"","","","","[","Thursday, October 2, 2025 at 4:15 PM","ASTS","2,073,517","66.16","$137.2M","15 days ago","Thursday, October 2, 2025 at 4:00 PM","4:15 PM","]"
"","","","","[","Thursday, October 2, 2025 at 4:15 PM","HYG","5,000,000","80.93","$404.7M","15 days ago","Thursday, October 2, 2025 at 4:00 PM","4:15 PM","]"
"","","","","[","Thursday, October 2, 2025 at 4:15 PM","XBI","1,123,917","102.59","$115.3M","15 days ago","Thursday, October 2, 2025 at 4:00 PM","4:15 PM","]"
"","","","","[","Thursday, October 2, 2025 at 4:17 PM","MU","644,500","183.75","$118.4M","15 days ago","Thursday, October 2, 2025 at 4:01 PM","4:17 PM","]"
"","","","","[","Thursday, October 2, 2025 at 4:17 PM","ISRG","159,028","443.01","$70.5M","15 days ago","Thursday, October 2, 2025 at 4:02 PM","4:17 PM","]"
"","","","","[","Thursday, October 2, 2025 at 4:18 PM","IVV","149,000","672.50","$100.2M","15 days ago","Thursday, October 2, 2025 at 4:03 PM","4:18 PM","]"
"","","","","[","Thursday, October 2, 2025 at 4:18 PM","HGER","8,610,318","25.61","$220.5M","15 days ago","Thursday, October 2, 2025 at 4:03 PM","4:18 PM","]"
"","","","","[","Thursday, October 2, 2025 at 4:18 PM","EFA","1,125,130","94.28","$106.1M","15 days ago","Thursday, October 2, 2025 at 4:03 PM","4:18 PM","]"
"","","","","[","Thursday, October 2, 2025 at 4:19 PM","EEM","1,965,131","54.06","$106.2M","15 days ago","Thursday, October 2, 2025 at 4:04 PM","4:19 PM","]"
"https://cdn.discordapp.com/avatars/1151207839734444032/54691686baa7b95ae8da114b44d398b3.webp?size=80","Cheddar Dark Pool","APP","10/2/25, 4:21 PM","—","Thursday, October 2, 2025 at 4:21 PM","IVV","110,000","672.29","$74M","15 days ago","Thursday, October 2, 2025 at 4:06 PM","",""
"","","","","[","Thursday, October 2, 2025 at 4:21 PM","OKLO","2,560,022","128.80","$329.7M","15 days ago","Thursday, October 2, 2025 at 4:06 PM","4:21 PM","]"
"","","","","[","Thursday, October 2, 2025 at 4:21 PM","HIMS","5,272,775","57.87","$305.1M","15 days ago","Thursday, October 2, 2025 at 4:06 PM","4:21 PM","]"
"","","","","[","Thursday, October 2, 2025 at 4:21 PM","RGTI","5,574,455","35.40","$197.3M","15 days ago","Thursday, October 2, 2025 at 4:06 PM","4:21 PM","]"
"","","","","[","Thursday, October 2, 2025 at 4:21 PM","RKLB","4,877,196","52.47","$255.9M","15 days ago","Thursday, October 2, 2025 at 4:06 PM","4:21 PM","]"
"","","","","[","Thursday, October 2, 2025 at 4:23 PM","RWR","2,140,368","99.58","$213.1M","15 days ago","Thursday, October 2, 2025 at 4:08 PM","4:23 PM","]"
